date,hour,prediction,real
42316.000,22.000,28.640,25.140
42316.000,23.000,23.364,22.540
42317.000,0.000,19.515,20.620
42317.000,1.000,16.915,18.190
42317.000,2.000,15.786,16.020
42317.000,3.000,15.699,15.740
42317.000,4.000,18.167,25.790
42317.000,5.000,26.390,35.950
42317.000,6.000,32.155,51.440
42317.000,7.000,35.529,60.020
42317.000,8.000,36.230,61.820
42317.000,9.000,34.593,34.650
42317.000,10.000,36.100,44.970
42317.000,11.000,36.354,35.990
42317.000,12.000,34.452,36.000
42317.000,13.000,33.934,41.080
42317.000,14.000,33.407,35.920
42317.000,15.000,33.516,44.240
42317.000,16.000,34.746,61.850
42317.000,17.000,37.469,45.090
42317.000,18.000,34.999,49.900
42317.000,19.000,32.642,31.740
42317.000,20.000,30.860,27.400
42317.000,21.000,30.124,28.590
42317.000,22.000,28.636,25.950
42317.000,23.000,25.092,19.410
42318.000,0.000,22.284,15.890
42318.000,1.000,21.004,13.140
42318.000,2.000,20.822,12.780
42318.000,3.000,21.766,15.140
42318.000,4.000,25.401,26.150
42318.000,5.000,31.262,39.500
42318.000,6.000,35.372,42.940
42318.000,7.000,39.016,49.950
42318.000,8.000,39.815,39.960
42318.000,9.000,40.637,31.160
42318.000,10.000,42.221,39.800
42318.000,11.000,44.928,35.970
42318.000,12.000,43.656,35.920
42318.000,13.000,42.394,34.500
42318.000,14.000,38.350,35.100
42318.000,15.000,36.804,49.970
42318.000,16.000,37.512,57.020
42318.000,17.000,41.070,56.980
42318.000,18.000,38.022,57.090
42318.000,19.000,33.543,35.250
42318.000,20.000,31.721,28.150
42318.000,21.000,30.786,28.030
42318.000,22.000,29.313,24.210
42318.000,23.000,26.275,21.630
42319.000,0.000,21.191,21.030
42319.000,1.000,19.238,20.650
42319.000,2.000,18.392,20.550
42319.000,3.000,18.394,20.840
42319.000,4.000,21.017,23.930
42319.000,5.000,28.867,32.230
42319.000,6.000,33.111,36.050
42319.000,7.000,36.644,40.000
42319.000,8.000,37.069,35.880
42319.000,9.000,37.719,32.040
42319.000,10.000,38.224,48.710
42319.000,11.000,38.569,47.950
42319.000,12.000,38.065,41.700
42319.000,13.000,38.818,35.860
42319.000,14.000,39.012,35.830
42319.000,15.000,38.689,39.970
42319.000,16.000,39.929,53.420
42319.000,17.000,42.110,51.290
42319.000,18.000,40.066,51.280
42319.000,19.000,37.645,31.890
42319.000,20.000,33.393,24.900
42319.000,21.000,32.156,26.440
42319.000,22.000,30.942,23.620
42319.000,23.000,27.834,22.560
42320.000,0.000,26.628,21.620
42320.000,1.000,24.544,21.230
42320.000,2.000,23.939,21.060
42320.000,3.000,24.474,21.020
42320.000,4.000,27.127,22.990
42320.000,5.000,31.198,32.250
42320.000,6.000,33.383,35.970
42320.000,7.000,36.011,43.350
42320.000,8.000,36.768,45.040
42320.000,9.000,36.739,33.840
42320.000,10.000,36.922,35.920
42320.000,11.000,36.283,35.930
42320.000,12.000,33.816,35.230
42320.000,13.000,34.600,34.480
42320.000,14.000,34.118,34.910
42320.000,15.000,35.543,50.960
42320.000,16.000,37.441,51.490
42320.000,17.000,42.376,51.470
42320.000,18.000,41.130,51.450
42320.000,19.000,38.584,34.470
42320.000,20.000,34.619,26.100
42320.000,21.000,33.021,25.510
42320.000,22.000,31.789,24.050
42320.000,23.000,30.144,23.430
42321.000,0.000,27.206,23.050
42321.000,1.000,24.535,22.150
42321.000,2.000,23.367,21.890
42321.000,3.000,23.569,21.880
42321.000,4.000,26.829,22.270
42321.000,5.000,30.987,34.480
42321.000,6.000,34.245,50.100
42321.000,7.000,38.179,51.450
42321.000,8.000,38.262,39.780
42321.000,9.000,37.695,29.420
42321.000,10.000,38.284,35.980
42321.000,11.000,37.446,35.920
42321.000,12.000,33.593,34.470
42321.000,13.000,32.788,32.520
42321.000,14.000,32.304,34.410
42321.000,15.000,32.359,35.970
42321.000,16.000,33.014,39.970
42321.000,17.000,34.664,35.950
42321.000,18.000,33.571,34.490
42321.000,19.000,32.421,28.440
42321.000,20.000,31.148,23.300
42321.000,21.000,30.708,23.010
42321.000,22.000,29.817,21.490
42321.000,23.000,27.489,19.590
42322.000,0.000,23.486,18.400
42322.000,1.000,21.355,16.480
42322.000,2.000,19.686,15.000
42322.000,3.000,19.683,15.750
42322.000,4.000,20.538,16.390
42322.000,5.000,23.399,18.380
42322.000,6.000,26.437,19.460
42322.000,7.000,29.246,20.550
42322.000,8.000,30.219,21.070
42322.000,9.000,30.680,21.280
42322.000,10.000,30.812,21.590
42322.000,11.000,30.598,21.510
42322.000,12.000,30.374,21.340
42322.000,13.000,30.201,21.080
42322.000,14.000,30.579,21.110
42322.000,15.000,31.429,23.270
42322.000,16.000,32.261,29.120
42322.000,17.000,33.262,29.430
42322.000,18.000,32.786,27.200
42322.000,19.000,31.451,23.360
42322.000,20.000,30.390,22.680
42322.000,21.000,30.373,22.500
42322.000,22.000,29.727,21.630
42322.000,23.000,28.037,21.490
42323.000,0.000,24.558,21.950
42323.000,1.000,22.294,21.180
42323.000,2.000,20.772,20.720
42323.000,3.000,21.817,20.030
42323.000,4.000,22.393,20.150
42323.000,5.000,24.566,20.630
42323.000,6.000,26.217,21.120
42323.000,7.000,27.806,21.340
42323.000,8.000,29.389,21.640
42323.000,9.000,30.505,22.720
42323.000,10.000,31.123,23.170
42323.000,11.000,31.280,23.260
42323.000,12.000,31.038,23.330
42323.000,13.000,30.947,23.030
42323.000,14.000,31.503,23.230
42323.000,15.000,32.366,23.640
42323.000,16.000,34.955,24.570
42323.000,17.000,38.643,25.870
42323.000,18.000,37.432,25.550
42323.000,19.000,34.233,25.000
42323.000,20.000,31.836,24.320
42323.000,21.000,31.984,24.010
